sample_id,country,R0,gen_time,p_det,false_positive_rate,earliest_detection_time,earliest_surveillance_type,local_cases_at_detection,total_latent,total_infectious,total_detectable
192,Switzerland,2.0,4.0,0.08,0.04,29.60613520543699,ICU,218.0,866.0,840.0,1747.0
193,Switzerland,2.0,4.0,0.08,0.04,29.50000009176422,HARISS,310.0,786.0,784.0,1757.0
194,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,116.0,876.0,775.0,1691.0
195,Switzerland,2.0,4.0,0.08,0.04,36.97638331002776,ICU,503.0,825.0,773.0,1771.0
196,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,269.0,813.0,773.0,1728.0
197,Switzerland,2.0,4.0,0.08,0.04,26.487577066991637,ICU,139.0,855.0,749.0,1639.0
198,Switzerland,2.0,4.0,0.08,0.04,24.48591411212876,ICU,430.0,876.0,769.0,1824.0
199,Switzerland,2.0,4.0,0.08,0.04,13.0,AWW,1.0,860.0,756.0,1778.0
200,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,306.0,871.0,802.0,1724.0
201,Switzerland,2.0,4.0,0.08,0.04,24.027131451757842,ICU,22.0,842.0,814.0,1733.0
202,Switzerland,2.0,4.0,0.08,0.04,22.50000043772341,HARISS,1189.0,824.0,787.0,1779.0
203,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,140.0,793.0,753.0,1746.0
204,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,766.0,855.0,793.0,1746.0
205,Switzerland,2.0,4.0,0.08,0.04,36.0,AWW,374.0,845.0,823.0,1809.0
206,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,1133.0,860.0,785.0,1783.0
207,Switzerland,2.0,4.0,0.08,0.04,24.788164175198332,ICU,128.0,826.0,776.0,1731.0
208,Switzerland,2.0,4.0,0.08,0.04,36.50000045255111,HARISS,826.0,849.0,804.0,1777.0
209,Switzerland,2.0,4.0,0.08,0.04,22.50000048402042,HARISS,171.0,809.0,813.0,1739.0
210,Switzerland,2.0,4.0,0.08,0.04,14.0,AWW,3.0,824.0,829.0,1774.0
211,Switzerland,2.0,4.0,0.08,0.04,36.0,AWW,1177.0,816.0,802.0,1754.0
212,Switzerland,2.0,4.0,0.08,0.04,29.963216541471212,ICU,348.0,860.0,798.0,1793.0
213,Switzerland,2.0,4.0,0.08,0.04,26.0,AWW,42.0,864.0,792.0,1677.0
214,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,24.0,813.0,818.0,1761.0
215,Switzerland,2.0,4.0,0.08,0.04,40.0,AWW,2816.0,830.0,800.0,1727.0
216,Switzerland,2.0,4.0,0.08,0.04,31.588128305533385,ICU,84.0,834.0,805.0,1702.0
217,Switzerland,2.0,4.0,0.08,0.04,24.0,AWW,91.0,835.0,761.0,1866.0
218,Switzerland,2.0,4.0,0.08,0.04,35.0,AWW,642.0,861.0,795.0,1805.0
219,Switzerland,2.0,4.0,0.08,0.04,36.05772659892198,ICU,1474.0,849.0,825.0,1782.0
220,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,458.0,877.0,805.0,1838.0
221,Switzerland,2.0,4.0,0.08,0.04,26.118068958872414,ICU,1137.0,812.0,743.0,1794.0
222,Switzerland,2.0,4.0,0.08,0.04,23.7009184427624,ICU,86.0,881.0,776.0,1684.0
223,Switzerland,2.0,4.0,0.08,0.04,25.270294183357265,ICU,823.0,909.0,845.0,1676.0
224,Switzerland,2.0,4.0,0.08,0.04,28.231017178020036,ICU,269.0,863.0,766.0,1723.0
225,Switzerland,2.0,4.0,0.08,0.04,19.5000001452877,HARISS,50.0,864.0,760.0,1732.0
226,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,269.0,833.0,774.0,1636.0
227,Switzerland,2.0,4.0,0.08,0.04,30.0,AWW,54.0,874.0,798.0,1759.0
228,Switzerland,2.0,4.0,0.08,0.04,28.825619443232526,ICU,54.0,799.0,790.0,1759.0
229,Switzerland,2.0,4.0,0.08,0.04,18.377323653241284,ICU,38.0,845.0,814.0,1871.0
230,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,154.0,876.0,806.0,1798.0
231,Switzerland,2.0,4.0,0.08,0.04,18.0,AWW,21.0,864.0,796.0,1815.0
232,Switzerland,2.0,4.0,0.08,0.04,32.89862369781849,ICU,318.0,841.0,805.0,1798.0
233,Switzerland,2.0,4.0,0.08,0.04,32.07217968926555,ICU,866.0,814.0,790.0,1706.0
234,Switzerland,2.0,4.0,0.08,0.04,32.324505230801094,ICU,770.0,854.0,787.0,1801.0
235,Switzerland,2.0,4.0,0.08,0.04,33.50000099946059,HARISS,197.0,791.0,779.0,1739.0
236,Switzerland,2.0,4.0,0.08,0.04,26.500000196924496,HARISS,321.0,826.0,768.0,1707.0
237,Switzerland,2.0,4.0,0.08,0.04,35.0,AWW,391.0,902.0,827.0,1712.0
238,Switzerland,2.0,4.0,0.08,0.04,15.50000042526472,HARISS,45.0,836.0,790.0,1743.0
239,Switzerland,2.0,4.0,0.08,0.04,24.0,AWW,46.0,869.0,829.0,1730.0
240,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,25.0,862.0,781.0,1749.0
241,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,173.0,824.0,728.0,1758.0
242,Switzerland,2.0,4.0,0.08,0.04,28.63302834467868,ICU,732.0,814.0,783.0,1730.0
243,Switzerland,2.0,4.0,0.08,0.04,31.11753355172781,ICU,490.0,819.0,807.0,1808.0
244,Switzerland,2.0,4.0,0.08,0.04,29.500000254650367,HARISS,779.0,827.0,821.0,1689.0
245,Switzerland,2.0,4.0,0.08,0.04,19.5000005696457,HARISS,123.0,807.0,814.0,1679.0
246,Switzerland,2.0,4.0,0.08,0.04,21.337053835670194,ICU,669.0,801.0,792.0,1682.0
247,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,226.0,809.0,814.0,1817.0
248,Switzerland,2.0,4.0,0.08,0.04,25.0,AWW,287.0,863.0,761.0,1779.0
249,Switzerland,2.0,4.0,0.08,0.04,33.5000002496903,HARISS,538.0,812.0,801.0,1746.0
250,Switzerland,2.0,4.0,0.08,0.04,32.01971121247083,ICU,511.0,861.0,785.0,1745.0
251,Switzerland,2.0,4.0,0.08,0.04,33.244499888153406,ICU,1186.0,816.0,823.0,1752.0
252,Switzerland,2.0,4.0,0.08,0.04,32.909393157434465,ICU,301.0,810.0,768.0,1774.0
253,Switzerland,2.0,4.0,0.08,0.04,13.0,AWW,NaN,794.0,763.0,1821.0
254,Switzerland,2.0,4.0,0.08,0.04,15.014473870300145,ICU,2.0,831.0,805.0,1796.0
255,Switzerland,2.0,4.0,0.08,0.04,27.507260249539154,ICU,31.0,849.0,773.0,1805.0
256,Switzerland,2.0,4.0,0.08,0.04,26.22992048978575,ICU,307.0,852.0,806.0,1709.0
257,Switzerland,2.0,4.0,0.08,0.04,37.356520831022735,ICU,841.0,841.0,813.0,1806.0
