sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
541,Switzerland,2.0,4.0,0.08,0.04,24.44099957385466,607.0,22.50000023107137,427.0,26.0,889.0,40.0,19667.0,22.50000023107137,HARISS,22.50000023107137,HARISS,5098.0,4843.0,10639.0
542,Switzerland,2.0,4.0,0.08,0.04,41.64936118627343,824.0,43.500000351192206,1293.0,20.0,5.0,34.0,149.0,20.0,AWW,34.0,AWW,5025.0,4771.0,10704.0
543,Switzerland,2.0,4.0,0.08,0.04,37.73288056534759,1344.0,36.500000422489514,1056.0,28.0,188.0,37.0,1151.0,28.0,AWW,36.500000422489514,HARISS,5100.0,4936.0,10651.0
544,Switzerland,2.0,4.0,0.08,0.04,18.80148468840295,449.0,22.50000067710642,918.0,28.0,2579.0,29.0,3320.0,18.80148468840295,ICU,18.80148468840295,ICU,4933.0,4998.0,10812.0
545,Switzerland,2.0,4.0,0.08,0.04,32.34574477214193,246.0,40.500000704653374,1425.0,23.0,33.0,33.0,276.0,23.0,AWW,32.34574477214193,ICU,5120.0,4898.0,10819.0
546,Switzerland,2.0,4.0,0.08,0.04,41.44895481067,1015.0,40.50000062207698,833.0,17.0,0.0,25.0,33.0,17.0,AWW,25.0,AWW,5163.0,4680.0,10825.0
547,Switzerland,2.0,4.0,0.08,0.04,57.12705879770731,826.0,61.50000060334032,2311.0,19.0,0.0,19.0,0.0,19.0,AWW,19.0,AWW,4975.0,4724.0,10844.0
548,Switzerland,2.0,4.0,0.08,0.04,40.82370781173903,1082.0,36.50000094312825,591.0,27.0,142.0,28.0,173.0,27.0,AWW,28.0,AWW,5015.0,4790.0,10662.0
549,Switzerland,2.0,4.0,0.08,0.04,34.47544499255156,452.0,40.50000097060631,1407.0,27.0,88.0,40.0,1266.0,27.0,AWW,34.47544499255156,ICU,5128.0,4915.0,10792.0
550,Switzerland,2.0,4.0,0.08,0.04,35.752494424873994,881.0,40.500000218055106,2405.0,28.0,86.0,33.0,414.0,28.0,AWW,33.0,AWW,5133.0,4734.0,10685.0
551,Switzerland,2.0,4.0,0.08,0.04,16.43652370942106,8.0,43.50000094934667,1255.0,19.0,13.0,32.0,119.0,16.43652370942106,ICU,16.43652370942106,ICU,5116.0,4865.0,10597.0
552,Switzerland,2.0,4.0,0.08,0.04,52.26201871599042,377.0,57.50000089468323,1305.0,26.0,8.0,39.0,31.0,26.0,AWW,39.0,AWW,5175.0,4910.0,10645.0
553,Switzerland,2.0,4.0,0.08,0.04,40.342869904714185,951.0,40.50000057361419,984.0,17.0,0.0,37.0,487.0,17.0,AWW,37.0,AWW,5152.0,4691.0,10597.0
554,Switzerland,2.0,4.0,0.08,0.04,14.772357159285534,31.0,15.500000080785835,31.0,31.0,31.0,16.0,31.0,14.772357159285534,ICU,14.772357159285534,ICU,5119.0,4764.0,10608.0
555,Switzerland,2.0,4.0,0.08,0.04,42.00149170225312,936.0,40.500000923231575,689.0,29.0,41.0,33.0,125.0,29.0,AWW,33.0,AWW,5183.0,4749.0,10815.0
556,Switzerland,2.0,4.0,0.08,0.04,51.030779124579716,3970.0,43.50000098960943,713.0,32.0,45.0,36.0,117.0,32.0,AWW,36.0,AWW,5106.0,4850.0,10724.0
557,Switzerland,2.0,4.0,0.08,0.04,31.71203514294257,271.0,33.500000183839106,363.0,29.0,148.0,30.0,173.0,29.0,AWW,30.0,AWW,5230.0,4904.0,10785.0
558,Switzerland,2.0,4.0,0.08,0.04,31.56746431234327,214.0,33.50000090839332,331.0,8.0,0.0,23.0,30.0,8.0,AWW,23.0,AWW,5027.0,4782.0,10722.0
559,Switzerland,2.0,4.0,0.08,0.04,28.76241894171084,698.0,33.50000014132846,2018.0,31.0,1154.0,37.0,4157.0,28.76241894171084,ICU,28.76241894171084,ICU,4975.0,4730.0,10411.0
560,Switzerland,2.0,4.0,0.08,0.04,46.7188543627129,2449.0,43.50000046635042,1269.0,21.0,7.0,37.0,308.0,21.0,AWW,37.0,AWW,5074.0,4716.0,10553.0
561,Switzerland,2.0,4.0,0.08,0.04,53.135964693790015,572.0,43.50000043826355,76.0,28.0,3.0,29.0,4.0,28.0,AWW,29.0,AWW,5218.0,4793.0,10689.0
562,Switzerland,2.0,4.0,0.08,0.04,34.46226625540427,1441.0,33.500000959205956,1157.0,24.0,152.0,37.0,2556.0,24.0,AWW,33.500000959205956,HARISS,5248.0,4886.0,10624.0
563,Switzerland,2.0,4.0,0.08,0.04,42.29915127905184,302.0,50.500000473648484,1830.0,23.0,4.0,29.0,13.0,23.0,AWW,29.0,AWW,5071.0,4718.0,10685.0
564,Switzerland,2.0,4.0,0.08,0.04,51.6933930933548,5221.0,47.50000026309146,2127.0,18.0,3.0,29.0,46.0,18.0,AWW,29.0,AWW,5148.0,4732.0,10710.0
565,Switzerland,2.0,4.0,0.08,0.04,40.73680001999859,1976.0,43.50000059236752,3767.0,9.0,0.0,32.0,166.0,9.0,AWW,32.0,AWW,5178.0,4754.0,10699.0
