sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
742,Switzerland,1.5,4.0,0.08,0.04,60.725883083024925,1537.0,54.50000012132532,661.0,32.0,24.0,54.0,616.0,32.0,AWW,54.0,AWW,956.0,1105.0,3025.0
743,Switzerland,1.5,4.0,0.08,0.04,39.83989263016538,9.0,64.50000027653901,615.0,28.0,2.0,44.0,16.0,28.0,AWW,39.83989263016538,ICU,999.0,1031.0,3140.0
744,Switzerland,1.5,4.0,0.08,0.04,71.83105611391511,2928.0,61.50000006901856,714.0,19.0,0.0,47.0,143.0,19.0,AWW,47.0,AWW,901.0,1029.0,3074.0
745,Switzerland,1.5,4.0,0.08,0.04,49.87043299157778,398.0,40.50000023918931,124.0,49.0,337.0,52.0,563.0,40.50000023918931,HARISS,40.50000023918931,HARISS,978.0,1037.0,3007.0
746,Switzerland,1.5,4.0,0.08,0.04,59.6170630030967,1294.0,57.50000006221183,939.0,35.0,17.0,47.0,140.0,35.0,AWW,47.0,AWW,958.0,1086.0,2996.0
747,Switzerland,1.5,4.0,0.08,0.04,6.132934419230322,0.0,54.500000754032236,345.0,44.0,63.0,45.0,74.0,6.132934419230322,ICU,6.132934419230322,ICU,950.0,1048.0,2919.0
748,Switzerland,1.5,4.0,0.08,0.04,66.54403430414104,2060.0,64.50000069807221,1484.0,29.0,66.0,55.0,340.0,29.0,AWW,55.0,AWW,1007.0,1081.0,3067.0
749,Switzerland,1.5,4.0,0.08,0.04,73.96611746185064,2868.0,64.50000082958995,817.0,37.0,67.0,38.0,68.0,37.0,AWW,38.0,AWW,991.0,1026.0,3045.0
750,Switzerland,1.5,4.0,0.08,0.04,70.96235231107819,5199.0,61.50000077310733,1227.0,37.0,23.0,60.0,998.0,37.0,AWW,60.0,AWW,939.0,1028.0,2964.0
751,Switzerland,1.5,4.0,0.08,0.04,66.82162417232047,2118.0,54.50000004856352,415.0,16.0,2.0,40.0,33.0,16.0,AWW,40.0,AWW,1014.0,1057.0,2972.0
752,Switzerland,1.5,4.0,0.08,0.04,87.97369943084404,29388.0,68.5000005365944,2013.0,23.0,13.0,54.0,207.0,23.0,AWW,54.0,AWW,896.0,1052.0,3043.0
753,Switzerland,1.5,4.0,0.08,0.04,37.62731833997082,387.0,43.500000794631326,1013.0,17.0,4.0,37.0,346.0,17.0,AWW,37.0,AWW,943.0,1103.0,2966.0
754,Switzerland,1.5,4.0,0.08,0.04,67.47346724278027,5567.0,50.50000032045647,449.0,40.0,94.0,52.0,597.0,40.0,AWW,50.50000032045647,HARISS,1016.0,1069.0,2950.0
755,Switzerland,1.5,4.0,0.08,0.04,33.39357788757391,25.0,50.50000001760514,396.0,31.0,11.0,40.0,81.0,31.0,AWW,33.39357788757391,ICU,989.0,1066.0,3073.0
756,Switzerland,1.5,4.0,0.08,0.04,78.73479052686433,8485.0,57.50000059391448,413.0,34.0,13.0,47.0,55.0,34.0,AWW,47.0,AWW,1031.0,1039.0,2987.0
757,Switzerland,1.5,4.0,0.08,0.04,88.89236558424678,46037.0,57.5000005905936,500.0,37.0,33.0,47.0,116.0,37.0,AWW,47.0,AWW,974.0,1056.0,2911.0
758,Switzerland,1.5,4.0,0.08,0.04,75.24409285985998,3695.0,57.50000034498596,279.0,30.0,1.0,42.0,16.0,30.0,AWW,42.0,AWW,956.0,1030.0,2976.0
759,Switzerland,1.5,4.0,0.08,0.04,65.3883597361779,2410.0,61.50000094513069,1239.0,50.0,132.0,50.0,132.0,50.0,AWW,50.0,AWW,916.0,1080.0,3047.0
760,Switzerland,1.5,4.0,0.08,0.04,68.71806344356527,3106.0,61.500000204237594,1060.0,43.0,65.0,59.0,693.0,43.0,AWW,59.0,AWW,968.0,1043.0,3037.0
761,Switzerland,1.5,4.0,0.08,0.04,52.07233551512793,1231.0,50.500000354778365,971.0,28.0,16.0,41.0,182.0,28.0,AWW,41.0,AWW,994.0,998.0,3040.0
